,precision,recall,f1-score,support,ROC_AUC
No Stroke,0.951±0.001,0.999±0.001,0.975±0.000,972.200±0.447,nan±nan
Stroke,0.067±0.149,0.004±0.009,0.008±0.017,49.800±0.447,nan±nan
accuracy,0.950±0.001,0.950±0.001,0.950±0.001,0.950±0.001,0.837±0.017
macro avg,0.509±0.075,0.502±0.004,0.491±0.009,1022.000±0.000,nan±nan
weighted avg,0.908±0.008,0.950±0.001,0.927±0.001,1022.000±0.000,nan±nan
