,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.663±0.008,0.862±0.038,0.750±0.016,399.600±0.548,nan±nan
Potable,0.601±0.052,0.316±0.033,0.412±0.027,255.600±0.548,nan±nan
accuracy,0.649±0.017,0.649±0.017,0.649±0.017,0.649±0.017,0.636±0.020
macro avg,0.632±0.028,0.589±0.013,0.581±0.015,655.200±0.447,nan±nan
weighted avg,0.639±0.023,0.649±0.017,0.618±0.014,655.200±0.447,nan±nan
