,precision,recall,f1-score,support,ROC_AUC
No Stroke,0.954±0.002,0.988±0.006,0.971±0.003,972.200±0.447,nan±nan
Stroke,0.227±0.115,0.068±0.037,0.103±0.051,49.800±0.447,nan±nan
accuracy,0.943±0.005,0.943±0.005,0.943±0.005,0.943±0.005,0.803±0.011
macro avg,0.591±0.058,0.528±0.017,0.537±0.026,1022.000±0.000,nan±nan
weighted avg,0.919±0.007,0.943±0.005,0.928±0.004,1022.000±0.000,nan±nan
