,precision,recall,f1-score,support,ROC_AUC
No rain tomorrow,0.002,0.003,0.002,0.447,
Rain tomorrow,0.006,0.009,0.007,0.548,
accuracy,0.003,0.003,0.003,0.003,0.005
macro avg,0.004,0.005,0.004,0.548,
weighted avg,0.003,0.003,0.003,0.548,
