,precision,recall,f1-score,support,ROC_AUC
No rain tomorrow,0.864±0.002,0.857±0.003,0.861±0.002,22063.200±0.447,nan±nan
Rain tomorrow,0.520±0.006,0.535±0.009,0.527±0.007,6375.400±0.548,nan±nan
accuracy,0.785±0.003,0.785±0.003,0.785±0.003,0.785±0.003,0.696±0.005
macro avg,0.692±0.004,0.696±0.005,0.694±0.004,28438.600±0.548,nan±nan
weighted avg,0.787±0.003,0.785±0.003,0.786±0.003,28438.600±0.548,nan±nan
