,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.662±0.008,0.686±0.015,0.673±0.008,792.600±0.548,nan±nan
Recidivism,0.599±0.010,0.573±0.018,0.586±0.011,650.200±0.447,nan±nan
accuracy,0.635±0.008,0.635±0.008,0.635±0.008,0.635±0.008,0.674±0.015
macro avg,0.630±0.008,0.629±0.008,0.629±0.008,1442.800±0.447,nan±nan
weighted avg,0.634±0.008,0.635±0.008,0.634±0.008,1442.800±0.447,nan±nan
