,precision,recall,f1-score,support,ROC_AUC
College,0.905±0.053,0.914±0.023,0.908±0.019,100.000±0.000,nan±nan
No College,0.914±0.018,0.900±0.062,0.906±0.026,100.000±0.000,nan±nan
accuracy,0.907±0.022,0.907±0.022,0.907±0.022,0.907±0.022,0.968±0.013
macro avg,0.909±0.021,0.907±0.022,0.907±0.022,200.000±0.000,nan±nan
weighted avg,0.909±0.021,0.907±0.022,0.907±0.022,200.000±0.000,nan±nan
