,precision,recall,f1-score,support,ROC_AUC
No Stroke,0.952±0.000,0.999±0.001,0.975±0.001,972.200±0.447,nan±nan
Stroke,0.500±0.500,0.012±0.011,0.023±0.021,49.800±0.447,nan±nan
accuracy,0.951±0.001,0.951±0.001,0.951±0.001,0.951±0.001,0.800±0.018
macro avg,0.726±0.250,0.506±0.006,0.499±0.011,1022.000±0.000,nan±nan
weighted avg,0.930±0.024,0.951±0.001,0.929±0.001,1022.000±0.000,nan±nan
