,precision,recall,f1-score,support,ROC_AUC
No subscription,0.901±0.002,0.985±0.001,0.941±0.001,7984.400±0.548,nan±nan
"Yes, subscribed",0.622±0.016,0.184±0.015,0.284±0.019,1057.800±0.447,nan±nan
accuracy,0.891±0.001,0.891±0.001,0.891±0.001,0.891±0.001,0.774±0.012
macro avg,0.762±0.008,0.585±0.007,0.613±0.010,9042.200±0.447,nan±nan
weighted avg,0.868±0.003,0.891±0.001,0.864±0.003,9042.200±0.447,nan±nan
