,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.887±0.002,0.927±0.002,0.906±0.002,4944.000±0.000,nan±nan
Income > 50K,0.731±0.008,0.627±0.008,0.675±0.008,1568.200±0.447,nan±nan
accuracy,0.855±0.003,0.855±0.003,0.855±0.003,0.855±0.003,0.903±0.004
macro avg,0.809±0.005,0.777±0.005,0.791±0.005,6512.200±0.447,nan±nan
weighted avg,0.849±0.003,0.855±0.003,0.851±0.003,6512.200±0.447,nan±nan
