,precision,recall,f1-score,support,ROC_AUC
No rain tomorrow,0.858±0.002,0.945±0.004,0.900±0.001,22063.200±0.447,nan±nan
Rain tomorrow,0.707±0.010,0.460±0.011,0.557±0.006,6375.400±0.548,nan±nan
accuracy,0.836±0.001,0.836±0.001,0.836±0.001,0.836±0.001,0.852±0.003
macro avg,0.783±0.004,0.702±0.004,0.728±0.003,28438.600±0.548,nan±nan
weighted avg,0.824±0.001,0.836±0.001,0.823±0.001,28438.600±0.548,nan±nan
