,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.894±0.003,0.943±0.004,0.918±0.002,4944.000±0.000,nan±nan
Income > 50K,0.782±0.012,0.649±0.011,0.709±0.009,1568.200±0.447,nan±nan
accuracy,0.872±0.004,0.872±0.004,0.872±0.004,0.872±0.004,0.927±0.002
macro avg,0.838±0.006,0.796±0.006,0.813±0.006,6512.200±0.447,nan±nan
weighted avg,0.867±0.004,0.872±0.004,0.868±0.004,6512.200±0.447,nan±nan
