,precision,recall,f1-score,support,ROC_AUC
No rain tomorrow,0.8699014593987776,0.9482844581425915,0.9074033915947436,22063.0,
Rain tomorrow,0.7399133804422157,0.5091764705882353,0.6032335997026576,6375.0,
accuracy,0.8498487938673606,0.8498487938673606,0.8498487938673606,0.8498487938673606,0.8758883873542165
macro avg,0.8049074199204966,0.7287304643654136,0.7553184956487005,28438.0,
weighted avg,0.8407617870115464,0.8498487938673606,0.8392170766882083,28438.0,
