,precision,recall,f1-score,support,ROC_AUC
College,0.890±0.037,0.912±0.033,0.900±0.028,100.000±0.000,nan±nan
No College,0.910±0.032,0.886±0.040,0.898±0.029,100.000±0.000,nan±nan
accuracy,0.899±0.028,0.899±0.028,0.899±0.028,0.899±0.028,0.962±0.015
macro avg,0.900±0.028,0.899±0.028,0.899±0.028,200.000±0.000,nan±nan
weighted avg,0.900±0.028,0.899±0.028,0.899±0.028,200.000±0.000,nan±nan
