,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.629±0.008,0.885±0.020,0.735±0.010,399.600±0.548,nan±nan
Potable,0.504±0.042,0.182±0.027,0.267±0.032,255.600±0.548,nan±nan
accuracy,0.611±0.012,0.611±0.012,0.611±0.012,0.611±0.012,0.561±0.016
macro avg,0.566±0.024,0.534±0.013,0.501±0.018,655.200±0.447,nan±nan
weighted avg,0.580±0.021,0.611±0.012,0.552±0.015,655.200±0.447,nan±nan
