,precision,recall,f1-score,support,ROC_AUC
No Stroke,0.952±0.001,0.993±0.004,0.973±0.001,972.200±0.447,nan±nan
Stroke,0.182±0.120,0.032±0.023,0.053±0.036,49.800±0.447,nan±nan
accuracy,0.947±0.003,0.947±0.003,0.947±0.003,0.947±0.003,0.806±0.015
macro avg,0.567±0.061,0.513±0.010,0.513±0.018,1022.000±0.000,nan±nan
weighted avg,0.915±0.007,0.947±0.003,0.928±0.001,1022.000±0.000,nan±nan
