,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.688±0.016,0.841±0.035,0.757±0.021,399.600±0.548,nan±nan
Potable,0.622±0.057,0.405±0.034,0.489±0.036,255.600±0.548,nan±nan
accuracy,0.671±0.026,0.671±0.026,0.671±0.026,0.671±0.026,0.689±0.017
macro avg,0.655±0.036,0.623±0.025,0.623±0.027,655.200±0.447,nan±nan
weighted avg,0.662±0.031,0.671±0.026,0.652±0.026,655.200±0.447,nan±nan
