,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.8846447669977082,0.9368932038834952,0.9100196463654224,4944.0,
Income > 50K,0.7554858934169278,0.6147959183673469,0.6779184247538678,1568.0,
accuracy,0.8593366093366094,0.8593366093366094,0.8593366093366094,0.8593366093366094,0.9164555005861568
macro avg,0.820065330207318,0.775844561125421,0.7939690355596452,6512.0,
weighted avg,0.8535450873640068,0.8593366093366094,0.854132865731682,6512.0,
