,precision,recall,f1-score,support,ROC_AUC
No rain tomorrow,0.870±0.002,0.947±0.001,0.907±0.001,22063.200±0.447,nan±nan
Rain tomorrow,0.735±0.005,0.509±0.008,0.601±0.007,6375.400±0.548,nan±nan
accuracy,0.849±0.002,0.849±0.002,0.849±0.002,0.849±0.002,0.875±0.003
macro avg,0.803±0.003,0.728±0.004,0.754±0.004,28438.600±0.548,nan±nan
weighted avg,0.840±0.002,0.849±0.002,0.838±0.002,28438.600±0.548,nan±nan
