,precision,recall,f1-score,support,ROC_AUC
Bad,0.725±0.011,0.769±0.014,0.746±0.010,1027.200±0.447,nan±nan
Good,0.732±0.013,0.683±0.016,0.707±0.012,947.000±0.000,nan±nan
accuracy,0.728±0.011,0.728±0.011,0.728±0.011,0.728±0.011,0.797±0.011
macro avg,0.729±0.011,0.726±0.011,0.727±0.011,1974.200±0.447,nan±nan
weighted avg,0.728±0.011,0.728±0.011,0.727±0.011,1974.200±0.447,nan±nan
