,precision,recall,f1-score,support,ROC_AUC
Bad,0.011,0.014,0.010,0.447,
Good,0.013,0.016,0.012,0.000,
accuracy,0.011,0.011,0.011,0.011,0.011
macro avg,0.011,0.011,0.011,0.447,
weighted avg,0.011,0.011,0.011,0.447,
