,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.891±0.003,0.926±0.005,0.908±0.003,4944.000±0.000,nan±nan
Income > 50K,0.734±0.012,0.643±0.013,0.685±0.008,1568.200±0.447,nan±nan
accuracy,0.858±0.004,0.858±0.004,0.858±0.004,0.858±0.004,0.913±0.003
macro avg,0.812±0.006,0.784±0.006,0.797±0.005,6512.200±0.447,nan±nan
weighted avg,0.853±0.004,0.858±0.004,0.854±0.004,6512.200±0.447,nan±nan
