,precision,recall,f1-score,support,ROC_AUC
No Stroke,0.975±0.002,0.561±0.108,0.707±0.092,972.200±0.447,nan±nan
Stroke,0.080±0.012,0.723±0.066,0.143±0.019,49.800±0.447,nan±nan
accuracy,0.569±0.100,0.569±0.100,0.569±0.100,0.569±0.100,0.702±0.034
macro avg,0.528±0.006,0.642±0.029,0.425±0.055,1022.000±0.000,nan±nan
weighted avg,0.932±0.002,0.569±0.100,0.680±0.088,1022.000±0.000,nan±nan
