,precision,recall,f1-score,support,ROC_AUC
College,0.700±0.020,0.658±0.060,0.677±0.035,100.000±0.000,nan±nan
No College,0.679±0.031,0.718±0.038,0.697±0.019,100.000±0.000,nan±nan
accuracy,0.688±0.023,0.688±0.023,0.688±0.023,0.688±0.023,0.752±0.033
macro avg,0.690±0.021,0.688±0.023,0.687±0.024,200.000±0.000,nan±nan
weighted avg,0.690±0.021,0.688±0.023,0.687±0.024,200.000±0.000,nan±nan
