,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.676±0.015,0.878±0.032,0.764±0.020,399.600±0.548,nan±nan
Potable,0.645±0.065,0.343±0.032,0.447±0.038,255.600±0.548,nan±nan
accuracy,0.669±0.025,0.669±0.025,0.669±0.025,0.669±0.025,0.678±0.026
macro avg,0.661±0.039,0.610±0.024,0.605±0.028,655.200±0.447,nan±nan
weighted avg,0.664±0.034,0.669±0.025,0.640±0.026,655.200±0.447,nan±nan
