,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.006,0.015,0.005,0.548,
Potable,0.036,0.029,0.038,0.548,
accuracy,0.008,0.008,0.008,0.008,0.015
macro avg,0.021,0.010,0.019,0.447,
weighted avg,0.017,0.008,0.016,0.447,
