,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.625±0.003,0.679±0.019,0.651±0.008,792.600±0.548,nan±nan
Recidivism,0.563±0.007,0.504±0.019,0.532±0.008,650.200±0.447,nan±nan
accuracy,0.600±0.004,0.600±0.004,0.600±0.004,0.600±0.004,0.602±0.012
macro avg,0.594±0.004,0.592±0.003,0.591±0.003,1442.800±0.447,nan±nan
weighted avg,0.597±0.004,0.600±0.004,0.597±0.003,1442.800±0.447,nan±nan
