,precision,recall,f1-score,support,ROC_AUC
Income <= 50K,0.880,0.871,0.875,4944.000,
Income > 50K,0.606,0.625,0.615,1568.200,
accuracy,0.812,0.812,0.812,0.812,0.748
macro avg,0.743,0.748,0.745,6512.200,
weighted avg,0.814,0.812,0.813,6512.200,
