,precision,recall,f1-score,support,ROC_AUC
No Churn,0.8972602739726028,0.6328502415458938,0.7422096317280454,1035.0,
Churn,0.4403534609720176,0.7994652406417112,0.5679012345679012,374.0,
accuracy,0.6770759403832506,0.6770759403832506,0.6770759403832506,0.6770759403832506,0.7854568704952337
macro avg,0.6688068674723102,0.7161577410938025,0.6550554331479733,1409.0,
weighted avg,0.775980537945478,0.6770759403832506,0.6959418243910022,1409.0,
