,precision,recall,f1-score,support,ROC_AUC
Churn,0.026,0.037,0.032,0.447,
No Churn,0.011,0.006,0.008,0.447,
accuracy,0.013,0.013,0.013,0.013,0.015
macro avg,0.018,0.021,0.020,0.548,
weighted avg,0.015,0.013,0.014,0.548,
