,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.699±0.014,0.759±0.011,0.728±0.011,792.600±0.548,nan±nan
Recidivism,0.672±0.016,0.602±0.023,0.635±0.019,650.200±0.447,nan±nan
accuracy,0.688±0.014,0.688±0.014,0.688±0.014,0.688±0.014,0.739±0.019
macro avg,0.686±0.014,0.681±0.015,0.681±0.015,1442.800±0.447,nan±nan
weighted avg,0.687±0.014,0.688±0.014,0.686±0.015,1442.800±0.447,nan±nan
