,precision,recall,f1-score,support,ROC_AUC
Bad,0.736±0.014,0.759±0.012,0.747±0.010,1027.200±0.447,nan±nan
Good,0.730±0.011,0.704±0.021,0.717±0.014,947.000±0.000,nan±nan
accuracy,0.733±0.011,0.733±0.011,0.733±0.011,0.733±0.011,0.799±0.010
macro avg,0.733±0.011,0.732±0.012,0.732±0.012,1974.200±0.447,nan±nan
weighted avg,0.733±0.011,0.733±0.011,0.733±0.011,1974.200±0.447,nan±nan
