,precision,recall,f1-score,support,ROC_AUC
No rain tomorrow,0.876±0.003,0.945±0.003,0.909±0.001,22063.200±0.447,nan±nan
Rain tomorrow,0.740±0.009,0.538±0.012,0.623±0.007,6375.400±0.548,nan±nan
accuracy,0.854±0.002,0.854±0.002,0.854±0.002,0.854±0.002,0.885±0.003
macro avg,0.808±0.004,0.742±0.005,0.766±0.004,28438.600±0.548,nan±nan
weighted avg,0.846±0.002,0.854±0.002,0.845±0.002,28438.600±0.548,nan±nan
