,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.694,0.739,0.715,792.600,
Recidivism,0.654,0.601,0.625,650.200,
accuracy,0.676,0.676,0.676,0.676,0.727
macro avg,0.674,0.670,0.670,1442.800,
weighted avg,0.676,0.676,0.674,1442.800,
