,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.020,0.012,0.011,0.548,
Recidivism,0.018,0.043,0.032,0.447,
accuracy,0.018,0.018,0.018,0.018,0.026
macro avg,0.018,0.020,0.021,0.447,
weighted avg,0.018,0.018,0.020,0.447,
