,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.008,0.021,0.011,0.548,
Potable,0.021,0.024,0.018,0.548,
accuracy,0.011,0.011,0.011,0.011,0.014
macro avg,0.013,0.011,0.012,0.447,
weighted avg,0.012,0.011,0.011,0.447,
