,precision,recall,f1-score,support,ROC_AUC
Not Potable,0.6948051948051948,0.8045112781954887,0.745644599303136,399.0,
Potable,0.5958549222797928,0.44921875,0.512249443207127,256.0,
accuracy,0.665648854961832,0.665648854961832,0.665648854961832,0.665648854961832,0.6757176143483709
macro avg,0.6453300585424937,0.6268650140977443,0.6289470212551315,655.0,
weighted avg,0.6561315005051903,0.665648854961832,0.6544245077602684,655.0,
