,precision,recall,f1-score,support,ROC_AUC
No subscription,0.9069848256689448,0.9805886036318096,0.9423516668672524,7985.0,
"Yes, subscribed",0.6219512195121951,0.2410207939508506,0.3474114441416894,1058.0,
accuracy,0.894061705186332,0.894061705186332,0.894061705186332,0.894061705186332,0.777811302619633
macro avg,0.76446802259057,0.6108046987913301,0.6448815555044709,9043.0,
weighted avg,0.8736368708625928,0.894061705186332,0.872745700302656,9043.0,
