,precision,recall,f1-score,support,ROC_AUC
No subscription,0.906±0.002,0.981±0.001,0.942±0.001,7984.400±0.548,nan±nan
"Yes, subscribed",0.619±0.016,0.230±0.014,0.336±0.017,1057.800±0.447,nan±nan
accuracy,0.893±0.002,0.893±0.002,0.893±0.002,0.893±0.002,0.781±0.011
macro avg,0.762±0.009,0.606±0.007,0.639±0.009,9042.200±0.447,nan±nan
weighted avg,0.872±0.003,0.893±0.002,0.871±0.003,9042.200±0.447,nan±nan
