,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.702±0.012,0.769±0.013,0.734±0.010,792.600±0.548,nan±nan
Recidivism,0.681±0.014,0.602±0.023,0.639±0.017,650.200±0.447,nan±nan
accuracy,0.694±0.012,0.694±0.012,0.694±0.012,0.694±0.012,0.748±0.016
macro avg,0.692±0.012,0.686±0.013,0.687±0.013,1442.800±0.447,nan±nan
weighted avg,0.693±0.012,0.694±0.012,0.691±0.012,1442.800±0.447,nan±nan
