,precision,recall,f1-score,support,ROC_AUC
Churn,0.021,0.034,0.027,0.447,
No Churn,0.010,0.006,0.006,0.447,
accuracy,0.010,0.010,0.010,0.010,0.014
macro avg,0.014,0.017,0.017,0.548,
weighted avg,0.012,0.010,0.012,0.548,
