,precision,recall,f1-score,support,ROC_AUC
No recidivism,0.704±0.017,0.756±0.014,0.729±0.013,792.600±0.548,nan±nan
Recidivism,0.672±0.017,0.612±0.030,0.640±0.023,650.200±0.447,nan±nan
accuracy,0.691±0.016,0.691±0.016,0.691±0.016,0.691±0.016,0.744±0.018
macro avg,0.688±0.017,0.684±0.017,0.685±0.017,1442.800±0.447,nan±nan
weighted avg,0.690±0.017,0.691±0.016,0.689±0.017,1442.800±0.447,nan±nan
